"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","cluster_1","cluster_2","cluster_3"
"ENSG00000165966",3.17233830187698,2.70794529148551,0.65967833043017,4.10494807328245,4.04405709156338e-05,0.000794869036180925,"PDZRN4",2,2,6
"ENSG00000166145",16.5219299553824,-1.08058196758252,0.26863435429481,-4.02250103274819,5.75834016493747e-05,0.00107896898840516,"SPINT1",1,1,1
"ENSG00000166407",18.7536475933057,-1.50162818245465,0.25666200395429,-5.85060569667366,4.89786094565883e-09,2.8740508588245e-07,"LMO1",1,4,4
"ENSG00000166573",6.46858364278124,1.80094328712617,0.352967822770947,5.10228743512085,3.35572562454198e-07,1.24047480996203e-05,"GALR1",2,3,3
"ENSG00000167434",14.4966616307885,-1.48765250598546,0.310129754824166,-4.79687125419136,1.61163112549785e-06,4.90298627829041e-05,"CA4",1,1,1
"ENSG00000167646",4.99022386213475,1.03196263664124,0.362367594157677,2.84783367298623,0.00440179231924506,0.0356839496322674,"DNAAF3",2,2,2
"ENSG00000168811",3.91819810324459,-1.84102884252454,0.599561323210742,-3.07062642510954,0.00213610231507596,0.020621891729091,"IL12A",1,1,1
"ENSG00000168918",17.6639568411199,-1.02250720828527,0.303542782026539,-3.36857691511792,0.000755573121702485,0.0091473165960002,"INPP5D",1,1,1
"ENSG00000169129",9.50012060160522,-1.05701299012929,0.330178105695316,-3.20134185730865,0.00136789138253067,0.0144584365426591,"AFAP1L2",1,1,1
"ENSG00000169245",63.3158899463536,1.07683426780706,0.250421322577037,4.30009017093902,1.70728627793522e-05,0.000384057891362535,"CXCL10",2,3,3
"ENSG00000170006",5.98325875507712,1.23637525921092,0.356827805209125,3.46490727785724,0.00053041432079781,0.0069302707889343,"TMEM154",2,2,6
"ENSG00000170345",121.055860502805,-1.03691845174173,0.15384264738532,-6.74012355718647,1.58251999131097e-11,1.44166696887992e-09,"FOS",1,1,5
"ENSG00000170370",3.8708533534526,-2.89270178870972,0.69554353746769,-4.15890829672771,3.19772236238288e-05,0.00065525446040828,"EMX2",1,4,4
"ENSG00000170477",4.42836709320499,3.83183158618688,0.607956813812288,6.30280227004741,2.92311711500642e-10,2.16140260580004e-08,"KRT4",2,3,3
"ENSG00000170549",13.4166788084994,-1.38451338139505,0.431946163785756,-3.20529153277019,0.00134925744650817,0.0143073350710439,"IRX1",1,4,4
"ENSG00000170743",7.51169904300117,-1.22422611871968,0.369597809367019,-3.31231973700363,0.000925257326286386,0.0107033127726089,"SYT9",1,1,1
"ENSG00000170893",4.50991757265097,-2.33979019331744,0.589426117622224,-3.96960725587844,7.19911956882669e-05,0.00130459402003704,"TRH",1,1,5
"ENSG00000170959",16.048202058756,1.14717559462004,0.234819219464626,4.88535647650787,1.03241889204975e-06,3.31197570253082e-05,"DCDC1",2,2,2
"ENSG00000170962",17.0515532097951,1.10943425137476,0.255685711821724,4.33905455048778,1.43097002686043e-05,0.00033139416815873,"PDGFD",2,3,3
