#node	identifier	node_degree
HSPA6	9606.ENSP00000310219	9
HSPB8	9606.ENSP00000281938	6
HTR1D	9606.ENSP00000363748	12
HTR2C	9606.ENSP00000276198	19
HUNK	9606.ENSP00000270112	0
HYDIN	9606.ENSP00000377197	19
HYKK	9606.ENSP00000373640	3
ICA1	9606.ENSP00000403982	0
ID1	9606.ENSP00000365280	27
ID2	9606.ENSP00000234091	32
ID3	9606.ENSP00000363689	17
IFI44L	9606.ENSP00000359787	8
IFITM1	9606.ENSP00000330825	10
IFNB1	9606.ENSP00000369581	35
IFNL1	9606.ENSP00000329991	11
IFNL2	9606.ENSP00000333639	8
IFNL3	9606.ENSP00000481633	10
IGFBP1	9606.ENSP00000275525	18
IGFBP2	9606.ENSP00000233809	24
IGFBP3	9606.ENSP00000370473	44
IGFBPL1	9606.ENSP00000366923	2
IGSF11	9606.ENSP00000377370	4
IGSF21	9606.ENSP00000251296	9
IKZF1	9606.ENSP00000331614	30
IL12A	9606.ENSP00000303231	7
IL1R1	9606.ENSP00000386380	21
IL1RAPL1	9606.ENSP00000368278	14
IL6R	9606.ENSP00000357470	24
ILDR2	9606.ENSP00000271417	0
INA	9606.ENSP00000358865	10
INAFM1	9606.ENSP00000447679	0
INHBA	9606.ENSP00000242208	10
INPP5D	9606.ENSP00000405338	14
IRS2	9606.ENSP00000365016	19
IRS4	9606.ENSP00000361202	5
IRX1	9606.ENSP00000305244	15
IRX2	9606.ENSP00000307006	10
IRX3	9606.ENSP00000331608	30
IRX5	9606.ENSP00000378132	8
ISG15	9606.ENSP00000496832	21
ISL2	9606.ENSP00000290759	18
ISLR	9606.ENSP00000249842	10
ITGA8	9606.ENSP00000367316	18
ITGA9	9606.ENSP00000264741	20
ITGB4	9606.ENSP00000200181	26
ITM2A	9606.ENSP00000362395	0
ITPKB	9606.ENSP00000411152	5
ITPR1	9606.ENSP00000306253	33
ITPR3	9606.ENSP00000363435	23
ITPRIP	9606.ENSP00000278071	3
JAG1	9606.ENSP00000254958	76
JUNB	9606.ENSP00000303315	31
KAT2B	9606.ENSP00000263754	38
KCNA1	9606.ENSP00000371985	36
KCNA4	9606.ENSP00000328511	27
KCND2	9606.ENSP00000333496	34
KCNH3	9606.ENSP00000257981	13
KCNH5	9606.ENSP00000321427	7
KCNH6	9606.ENSP00000463533	7
KCNH7	9606.ENSP00000331727	8
KCNJ13	9606.ENSP00000233826	5
