"","genes","state"
"618","SLC17A7","High_No"
"619","TFPI2","High_No"
"620","MET","High_No"
"621","MINDY4","High_No"
"622","GLI3","High_No"
"623","PIP5K1B","High_No"
"624","FAM20A","High_No"
"625","GLI1","High_No"
"626","WNT5B","High_No"
"627","RFX4","High_No"
"628","RSPH4A","High_No"
"629","GLP1R","High_No"
"630","SMOC2","High_No"
"631","PDE4D","High_No"
"632","EFCC1","High_No"
"633","ID2","High_No"
"634","PLCL1","High_No"
"635","VAX2","High_No"
"636","ATP6V1B1","High_No"
"637","WLS","High_No"
"638","NRP2","High_No"
"639","FILIP1","High_No"
"640","KLF9","High_No"
"641","CCDC170","High_No"
"642","DNAJC15","High_No"
"643","PDZRN3","High_No"
"644","INHBA","High_No"
"645","ARL4A","High_No"
"646","BHLHE41","High_No"
"647","NRK","High_No"
"648","CDKN1A","High_No"
"649","MYRF","High_No"
"650","MT2A","High_No"
"651","BMP4","High_No"
"652","PAX8","High_No"
"653","FOSB","High_No"
"654","FOXA2","High_No"
"655","LAMP5","High_No"
"656","ID1","High_No"
"657","FGD3","High_No"
"658","GNG11","High_No"
"659","KRT17","High_No"
"660","VGF","High_No"
"661","PDE11A","High_No"
"662","FOXA1","High_No"
"663","SAT1","High_No"
"664","GADD45G","High_No"
"665","ASS1","High_No"
"666","LGALS3","High_No"
"667","DDC","High_No"
"668","IRS4","High_No"
"669","VRTN","High_No"
"670","CNTN6","High_No"
"671","NAV1","High_No"
"672","RERG","High_No"
"673","LMO2","High_No"
"674","NIBAN1","High_No"
"675","ENPP2","High_No"
"676","KIAA0319","High_No"
"677","RNF144B","High_No"
"678","SMAD6","High_No"
"679","DUSP5","High_No"
"680","MDH1B","High_No"
"681","MMRN1","High_No"
"682","ANXA3","High_No"
"683","EGF","High_No"
"684","MTTP","High_No"
"685","PRICKLE1","High_No"
"686","ZIC5","High_No"
"687","TTC6","High_No"
"688","FBLN5","High_No"
"689","RGS16","High_No"
"690","NXPH2","High_No"
"691","ZNF385B","High_No"
"692","ITGA9","High_No"
"693","SLIT2","High_No"
"694","PLK2","High_No"
"695","CXCL14","High_No"
"696","PSD2","High_No"
"697","TPBG","High_No"
"698","ST18","High_No"
"699","NTRK2","High_No"
"700","PAMR1","High_No"
"701","GRIA1","High_No"
"702","DEPTOR","High_No"
"703","SORCS3","High_No"
"704","UNC5D","High_No"
"705","ZIC3","High_No"
"706","HYDIN","High_No"
"707","NBL1","High_No"
"708","MPZ","High_No"
"709","RSPH1","High_No"
"710","TLCD1","High_No"
"711","ELAVL4","High_No"
"712","DHRS3","High_No"
"713","UBXN10","High_No"
"714","NFIA","High_No"
"715","FRZB","High_No"
"716","CADPS","High_No"
"717","ADAMTS9","High_No"
"718","PCOLCE2","High_No"
"719","FHIP1A","High_No"
"720","SHH","High_No"
"721","FREM1","High_No"
"722","PDP1","High_No"
"723","MYORG","High_No"
"724","ARMC3","High_No"
"725","TSHR","High_No"
"726","OTX2","High_No"
"727","SPINT1","High_No"
"728","LMO1","High_No"
"729","GALR1","High_No"
"730","CA4","High_No"
"731","AFAP1L2","High_No"
"732","CXCL10","High_No"
"733","TMEM154","High_No"
"734","FOS","High_No"
"735","EMX2","High_No"
"736","SYT9","High_No"
"737","TRH","High_No"
"738","DCDC1","High_No"
"739","HS6ST2","High_No"
"740","FOXB1","High_No"
"741","FRMD3","High_No"
"742","MIR4435-2HG","High_No"
"743","HPSE2","High_No"
"744","GPR160","High_No"
"745","CLVS1","High_No"
"746","CASC2","High_No"
"747","ERBB4","High_No"
"748","CTNNBIP1","High_No"
"749","FJX1","High_No"
"750","HTR1D","High_No"
"751","LRRC3B","High_No"
"752","MYL11","High_No"
"753","TNFSF15","High_No"
"754","OPCML","High_No"
"755","C1QTNF12","High_No"
"756","FAM110C","High_No"
"757","NPY2R","High_No"
"758","PTCH1","High_No"
"759","IRS2","High_No"
"760","GABRA5","High_No"
"761","SLIT1","High_No"
"762","PAQR9","High_No"
"763","FZD9","High_No"
"764","LRRK2","High_No"
"765","IFT70B","High_No"
"766","DIO3","High_No"
"767","VEPH1","High_No"
"768","LPAR1","High_No"
"769","MYL4","High_No"
"770","PPP1R14C","High_No"
"771","C2orf72","High_No"
"772","CFAP44","High_No"
"773","SEC14L6","High_No"
"774","MIR99AHG","High_No"
"775","RPL5P18","High_No"
"776","CYTOR","High_No"
"777","LINC03007","High_No"
"778","LOC124908056","High_No"
"779","NEMP2-DT","High_No"
"780","SOX2-OT","High_No"
"781","ACTN3","High_No"
"782","DNAAF4","High_No"
"783","LOC100505978","High_No"
"784","SPON1","High_No"
"785","LOC121725015","High_No"
"786","GDF10","High_No"
"787","MGC12916","High_No"
"788","NEFL","High_No"
