"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","clusters"
"ENSG00000129048",4.59814063372623,-0.735610255149084,0.333442427909252,-2.20610874195435,0.0273763867760292,0.0691743275253902,"ACKR4",NA
"ENSG00000129055",152.966938453732,-0.253594501233398,0.0729639383701256,-3.47561421296893,0.000509684909565633,0.00217021273034528,"ANAPC13",NA
"ENSG00000129071",117.597439865943,0.0357729593772177,0.0888800851360749,0.402485656066255,0.687326642685871,0.79301823054646,"MBD4",NA
"ENSG00000129083",330.549174206503,-0.484390566423008,0.106829504760167,-4.53423955779321,5.78113862859843e-06,3.72969145756074e-05,"COPB1",NA
"ENSG00000129084",291.809113575004,-0.0576090738519568,0.0459953567568328,-1.25249759788848,0.210388603064233,0.347139314804584,"PSMA1",NA
"ENSG00000129103",3.77857532956565,0.290310137002642,0.367858302613162,0.78919011733692,0.430000897212268,0.581855803739661,"SUMF2",NA
"ENSG00000129116",583.553402687869,-1.16699508087529,0.0429675658535251,-27.1599067271702,1.93408443914108e-162,1.85169244203367e-159,"PALLD",2
"ENSG00000129128",287.006951237023,0.0584779212111815,0.0603103769288849,0.969616244981122,0.332237812453888,0.484589399212907,"SPCS3",NA
"ENSG00000129151",5.17362539517205,0.46571716845247,0.389250321493373,1.19644645806773,0.231522380833316,0.37187400551001,"BBOX1",NA
"ENSG00000129158",39.9921823906545,0.12064844011038,0.120018981912333,1.00524465537049,0.31477905745868,0.466660683819976,"SERGEF",NA
"ENSG00000129159",9.15052251975706,0.849087818790802,0.346532899313335,2.45023725156629,0.0142762113189974,0.0399066999030894,"KCNC1",NA
"ENSG00000129167",4.5122771144437,-0.156879367450275,0.316403175430941,-0.495821090406585,0.620020643468158,0.740852123627351,"TPH1",NA
"ENSG00000129173",18.5392543852497,0.798938003397143,0.227314303131724,3.51468426047161,0.000440277115115613,0.00191036170410917,"E2F8",NA
"ENSG00000129187",145.680701100162,-0.251972766903495,0.0735064588951922,-3.42789967971067,0.00060827019254291,0.00253640192657048,"DCTD",NA
"ENSG00000129194",1.77759015205367,0.019980626976288,0.542594303985477,0.036824247563098,0.970625140397895,0.981958587644048,"SOX15",NA
"ENSG00000129195",161.533247628839,-0.372354031573719,0.0813244147428167,-4.57862540728101,4.68041522138258e-06,3.08292365528151e-05,"PIMREG",NA
